data_source,period,time_of_day,family_short,family_full,aic,bic,mu,sigma,nu,tau
TTC Streetcar,Pre-Treatment,Off-Peak,BCPEo,Box-Cox Power Exponential-orig.,467707.55928285973,467745.2295199941,14.832299540954429,0.2125553357832948,-0.6015118175170807,1.3965505038974804
TTC Streetcar,Pre-Treatment,AM Peak,BCT,Box-Cox t,143640.17047809408,143673.47764840917,14.972286791177376,0.14300558977437944,-1.1965609425624593,7.700261863663391
TTC Streetcar,Pre-Treatment,PM Peak,GB2,Generalized beta 2 (i.e. of the second kind),136966.95406877535,136999.46491085962,14.629279032089224,10.705978606153133,2.0131408126345463,0.4888024698099028
TTC Streetcar,Post-Treatment,Off-Peak,BCTo,Box-Cox-t-orig.,576156.6503587897,576195.742677176,13.411769684936287,0.13050433604017944,-0.1893076768510752,4.391087117752383
TTC Streetcar,Post-Treatment,AM Peak,BCT,Box-Cox t,150531.00494356384,150564.84980694778,14.58795374337742,0.1262452187320225,-1.4010739971718107,11.401296141498758
TTC Streetcar,Post-Treatment,PM Peak,BCTo,Box-Cox-t-orig.,146223.12040050753,146256.5692366153,15.761309653279541,0.13459605679215486,-1.4959334599940615,10.779753008168235
General Traffic (Pooled),Pre-Treatment,Off-Peak,BCTo,Box-Cox-t-orig.,3768150.5861800318,3768195.0839049835,18.9741588080959,0.5034141638985837,-0.1850249682577495,19.063982244476446
General Traffic (Pooled),Pre-Treatment,AM Peak,BCT,Box-Cox t,758701.4610344203,758739.6511534989,18.492259946465023,0.48904661931020244,-0.10125136662095735,34.45124576539533
General Traffic (Pooled),Pre-Treatment,PM Peak,GB2,Generalized beta 2 (i.e. of the second kind),972351.7808325232,972390.557017728,12.872014098885783,1.9020576397381752,3.9711775819594552,1.4860503533449942
General Traffic (Pooled),Post-Treatment,Off-Peak,BCT,Box-Cox t,32926501.634869244,32926554.73556936,19.727677428459675,0.5063183565370615,-0.16365606675007804,13.531106629316554
General Traffic (Pooled),Post-Treatment,AM Peak,BCTo,Box-Cox-t-orig.,6666230.803752183,6666277.565201042,19.995761845354,0.5021050897087432,-0.07808703500918,25.00312132176541
General Traffic (Pooled),Post-Treatment,PM Peak,GB2,Generalized beta 2 (i.e. of the second kind),8192394.694474287,8192441.881110201,14.39730540112787,1.703947642461624,4.1297318238884255,1.74169103783384
Segment: RM_YO_RM_UN,Pre-Treatment,PM Peak,GIG,Generalised Inverse Gaussian,10028.444745258144,10043.412751056068,48.657270498048746,0.670166614081748,0.9247098048053592,NA
Segment: AD_UN_AD_YO,Post-Treatment,Off-Peak,BCTo,Box-Cox-t-orig.,368037.81157942064,368073.27761616826,19.163454748499163,0.33619935157847447,-0.12985984527010577,4.830126923929333
Segment: KN_YO_KN_UN,Post-Treatment,AM Peak,BCT,Box-Cox t,30214.706192503698,30239.549951437213,38.44410478937913,0.34885759552567513,0.844307719062254,8.290315060285046
Segment: KN_SP_QU_SP,Post-Treatment,PM Peak,BCPE,Box-Cox Power Exponential,65273.52566771938,65301.26875547406,40.23393309684179,0.4573291438162128,0.3890800986621607,2.798984156691461
